edge	min	max
2	0.3731066693349409	0.3731066693349409
47	0.2963755535299616	0.2963755535299616
88	11.397230321585477	11.397230321585477
105	7.724923937830522	7.724923937830522
120	4.7492970471357525	4.7492970471357525
137	2.009727012466478	2.009727012466478
141	1.5790684040054603	1.5790684040054603
141	1.2189327377605494	1.2189327377605494
163	11.341844561464221	11.341844561464221
1	0.20047147811670055	0.20047147811670055
1	0.1648262733414079	0.1648262733414079
3	1.371240256336629	1.371240256336629
3	0.5230474205210457	0.5230474205210457
4	1.4466675226793821	1.4466675226793821
4	1.5771605695486264	1.5771605695486264
4	1.1375851368487921	1.1375851368487921
123	3.7081820400999734	3.7081820400999734
5	1.6802810269532333	1.6802810269532333
5	1.5511459274107167	1.5511459274107167
5	0.5952302165074526	0.5952302165074526
6	0.2157587871150314	0.2157587871150314
6	0.2174643305805752	0.2174643305805752
104	3.3223583971257264	3.3223583971257264
104	3.7037256325513495	3.7037256325513495
104	2.335521473206519	2.335521473206519
7	1.051675051679566	1.051675051679566
7	0.7090326350693351	0.7090326350693351
8	0.8754563284692718	0.8754563284692718
9	1.0193692770489682	1.0193692770489682
10	0.1779843154744953	0.1779843154744953
10	0.8863813171068283	0.8863813171068283
160	0.6606425016200231	0.6606425016200231
12	0.21696006107060425	0.21696006107060425
12	0.25536600952340704	0.25536600952340704
14	3.6584079662958526	3.6584079662958526
14	3.4288993241786008	3.4288993241786008
14	2.4094197331596225	2.4094197331596225
14	0.45691220094089263	0.45691220094089263
15	2.461720498754388	2.461720498754388
16	0.5967779275894787	0.5967779275894787
17	0.11246858707539065	0.11246858707539065
18	1.8584832655972228	1.8584832655972228
18	1.539580562987005	1.539580562987005
19	0.9212210345793803	0.9212210345793803
19	0.32069848699595205	0.32069848699595205
19	0.3095770992405031	0.3095770992405031
19	0.19134129794376306	0.19134129794376306
102	2.2969432018234754	2.2969432018234754
102	2.122392414381994	2.122392414381994
102	1.3419194289670866	1.3419194289670866
132	1.8549932478398272	1.8549932478398272
132	1.5531404015196135	1.5531404015196135
112	2.1936008688036264	2.1936008688036264
112	1.6829902472062743	1.6829902472062743
112	2.2012855583530815	2.2012855583530815
24	0.08635505155868585	0.08635505155868585
24	0.1525464407787732	0.1525464407787732
26	0.19884205050644332	0.19884205050644332
108	6.76613335569153	6.76613335569153
27	2.7153072033150885	2.7153072033150885
27	2.6830547991088616	2.6830547991088616
109	4.921909819239059	4.921909819239059
28	1.5446287869852664	1.5446287869852664
28	1.0291143380289336	1.0291143380289336
28	1.0880978374339358	1.0880978374339358
28	0.435013976223364	0.435013976223364
28	0.9814751210292837	0.9814751210292837
28	1.0285825619315017	1.0285825619315017
29	1.56166916540437	1.56166916540437
29	0.5792224802441944	0.5792224802441944
118	2.762299459098121	2.762299459098121
118	3.7540497907240806	3.7540497907240806
118	3.3696751571018537	3.3696751571018537
31	1.974523586728696	1.974523586728696
118	4.077877178328457	4.077877178328457
31	0.3481141077570047	0.3481141077570047
32	3.3952950527761385	3.3952950527761385
32	1.872131298028231	1.872131298028231
32	2.650470221001145	2.650470221001145
32	1.6262445412973863	1.6262445412973863
32	1.3292261396392329	1.3292261396392329
33	3.3445329287193744	3.3445329287193744
33	3.697401461843069	3.697401461843069
33	2.678898971267796	2.678898971267796
33	0.4671060832976637	0.4671060832976637
33	0.8464639475958446	0.8464639475958446
33	0.2695598037173398	0.2695598037173398
114	3.9385136098515456	3.9385136098515456
35	1.5287219386558506	1.5287219386558506
35	0.06194459336112906	0.06194459336112906
35	0.34413383713389756	0.34413383713389756
37	1.7498870906245814	1.7498870906245814
37	0.44955750129026967	0.44955750129026967
37	1.0978285672127013	1.0978285672127013
38	0.22581384205918187	0.22581384205918187
97	1.435785289553596	1.435785289553596
97	1.5399425905427364	1.5399425905427364
40	0.1504920573330435	0.1504920573330435
42	0.9684821229869487	0.9684821229869487
107	3.5407578769086423	3.5407578769086423
107	3.6450754569008446	3.6450754569008446
43	0.02568766648189229	0.02568766648189229
48	1.5647951551970352	1.5647951551970352
48	1.4659140323572548	1.4659140323572548
48	0.9969804651077955	0.9969804651077955
48	0.8283890785264924	0.8283890785264924
49	6.842727593003001	6.842727593003001
49	5.104628132042338	5.104628132042338
49	5.536821098645978	5.536821098645978
49	3.9781825811735465	3.9781825811735465
49	3.677801108614319	3.677801108614319
49	2.6158715311436422	2.6158715311436422
49	1.7354671125077263	1.7354671125077263
49	2.0754982742408705	2.0754982742408705
50	0.8924089630936758	0.8924089630936758
50	0.5042211533463761	0.5042211533463761
53	1.482483069652432	1.482483069652432
53	0.8771676693033517	0.8771676693033517
129	5.463490518820119	5.463490518820119
128	6.20033160749052	6.20033160749052
129	4.218303254892346	4.218303254892346
130	2.926986171514603	2.926986171514603
130	2.804169420762891	2.804169420762891
57	1.1863713366462563	1.1863713366462563
98	5.0641909017829	5.0641909017829
99	3.5916762417686834	3.5916762417686834
99	2.7828131810293613	2.7828131810293613
119	8.186182921178665	8.186182921178665
119	7.606900846550551	7.606900846550551
119	6.349501518113798	6.349501518113798
63	5.094585773418591	5.094585773418591
63	3.7062689002420144	3.7062689002420144
63	3.9993064041189923	3.9993064041189923
63	2.6532188094749003	2.6532188094749003
63	2.32189055850342	2.32189055850342
63	2.0438920344603995	2.0438920344603995
63	1.1661402111662855	1.1661402111662855
66	7.046252554451588	7.046252554451588
68	9.511811854358875	9.511811854358875
68	9.783384518837918	9.783384518837918
68	9.73626591002111	9.73626591002111
68	7.911122636890835	7.911122636890835
68	8.055521343435792	8.055521343435792
68	5.342383204081684	5.342383204081684
68	5.513953499040906	5.513953499040906
69	10.92042883032105	10.92042883032105
69	10.696735743379755	10.696735743379755
69	8.658932287197736	8.658932287197736
69	8.787518868553182	8.787518868553182
75	10.165519656771927	10.165519656771927
75	9.353737471725392	9.353737471725392
75	7.392419676203478	7.392419676203478
75	7.342015179900235	7.342015179900235
75	7.504312367349343	7.504312367349343
78	6.675735954866761	6.675735954866761
83	2.255333450575474	2.255333450575474
83	2.021007917791337	2.021007917791337
85	16.280619100233242	16.280619100233242
85	19.348051522854732	19.348051522854732
85	15.616319267178119	15.616319267178119
85	15.74911939148598	15.74911939148598
85	15.07340194662319	15.07340194662319
85	14.032929803628042	14.032929803628042
86	12.399736727364669	12.399736727364669
87	11.297826228897641	11.297826228897641
89	9.404995979658258	9.404995979658258
92	8.049786993034568	8.049786993034568
92	7.3483100153975895	7.3483100153975895
92	7.040367771708644	7.040367771708644
92	6.994648573801188	6.994648573801188
92	5.374349512201896	5.374349512201896
93	4.182917474196309	4.182917474196309
95	2.8111999067895477	2.8111999067895477
100	4.391000666647127	4.391000666647127
101	3.3409686845544275	3.3409686845544275
106	6.024530020545435	6.024530020545435
106	6.03745995821089	6.03745995821089
106	5.0222614936795225	5.0222614936795225
106	4.964137211005939	4.964137211005939
106	5.693337333968982	5.693337333968982
106	5.581624160498265	5.581624160498265
106	4.183421813079757	4.183421813079757
106	4.425887534554237	4.425887534554237
111	4.377359234883633	4.377359234883633
111	3.6445348233014423	3.6445348233014423
111	3.852821990563305	3.852821990563305
111	3.4030400557215	3.4030400557215
115	5.196825736845652	5.196825736845652
116	2.5341486857977444	2.5341486857977444
116	2.984870934104242	2.984870934104242
116	1.7729459156519298	1.7729459156519298
116	1.3506397874764695	1.3506397874764695
116	0.5349400249450235	0.5349400249450235
138	5.25516402245016	5.25516402245016
138	5.348602377311241	5.348602377311241
138	5.061165568852509	5.061165568852509
139	3.352372132258935	3.352372132258935
140	2.4049819485068022	2.4049819485068022
140	1.9410223723185038	1.9410223723185038
146	2.0814990638829083	2.0814990638829083
146	1.6548070325046482	1.6548070325046482
148	7.443463737069107	7.443463737069107
148	7.755609814764708	7.755609814764708
150	5.959090088789037	5.959090088789037
151	5.061448623398132	5.061448623398132
151	4.252933449314568	4.252933449314568
151	3.1067515075518006	3.1067515075518006
153	1.429646853859033	1.429646853859033
158	4.061135835927668	4.061135835927668
158	3.3647072053775697	3.3647072053775697
161	4.160306783714727	4.160306783714727
161	4.17518170700221	4.17518170700221
165	10.79329350666816	10.79329350666816
165	10.819718846081724	10.819718846081724
165	9.708131124416028	9.708131124416028
165	9.182313165137742	9.182313165137742
166	8.025654321490736	8.025654321490736
