Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	completeness	diversification	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	turnover
100	-707.4434	-563.7657	-143.6777	445893.9	0.08945772	0.2392855	0.07101528	0.8813931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8391	0.2772454	0.998097	0.999513	1.00049	1.0019	0.9524083	8.3	6.7	6.3	6.50542	4.54331	4.38361	1.25367	7.2	5.92869	6.35715	5.64899	3.38846	1.45373	1.58843	3.21291	6.18451	6.54072	7.16998	2.95594	2.44652	2.91249	3.31996	3.28959	3.39369	3.37186	4.75638	0.9254361
110	-705.6503	-565.5693	-140.081	445893.9	0.08945772	0.08871059	0.148295	1.578617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.465542	0.1536724	0.998097	0.999513	1.00049	1.0019	1.726912	8.33022	6.7	6.3	6.55918	4.54331	4.38361	1.25367	7.2	5.92869	6.35715	5.64899	3.38846	1.18054	1.58843	3.21291	6.18451	6.54072	7.16998	3.39475	2.44652	2.91249	3.31996	3.28959	3.39369	3.37186	4.75638	0.9141271
120	-711.6018	-570.1029	-141.4988	242188.1	0.09892756	0.1163632	0.1334485	2.045888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.75856	0.2694164	0.997418	0.999339	1.00066	1.00258	2.179337	8.33022	6.7	6.3	6.55918	4.43136	4.38361	1.25367	7.2	5.92869	6.35715	5.64899	3.33549	1.18054	1.58843	3.73201	6.18451	6.54072	7.16998	3.39475	2.44652	2.91249	3.31996	2.81286	3.39369	2.60094	4.75638	0.9387664
130	-714.1464	-568.8139	-145.3324	827874.3	0.0736996	0.1816334	-0.01589125	0.9127943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.945964	0.2025913	0.998603	0.999643	1.00036	1.0014	0.8969031	8.33022	6.7	6.3	6.55918	4.43136	4.38361	1.25367	7.2	5.92869	6.35715	5.95317	3.33549	1.19223	1.58843	3.73201	6.18451	6.54072	7.16998	3.39475	2.44652	2.91249	3.31996	2.84778	3.39369	2.60094	4.6597	1.017718
140	-721.9063	-575.1323	-146.774	806444.2	0.09401352	0.1747572	-0.004704892	0.9754613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.20972	0.2065682	0.998585	0.999638	1.00036	1.00142	0.9707564	8.33022	6.7	6.3	6.55918	4.19487	4.3493	1.29548	7.2	5.92869	6.67824	5.95317	3.33549	1.19223	1.58843	3.74249	6.18451	6.54072	7.16998	3.39475	2.44652	2.91249	3.31996	2.84778	3.39369	2.79636	3.4694	1.004847
150	-701.1266	-563.8027	-137.324	889055.2	0.1217941	0.1130221	0.1508725	1.738923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.41855	0.2215801	0.998652	0.999655	1.00034	1.00135	1.889795	8.33022	6.7	6.3	6.55918	4.19487	4.3493	1.69392	7.2	5.92869	6.67824	5.32182	3.33549	1.94462	1.58843	3.75062	6.18451	6.54072	7.16998	3.39475	2.43773	2.91249	3.31996	2.84778	3.39369	2.79636	4.87267	0.9201646
160	-704.0182	-569.9197	-134.0985	647423.8	0.1150204	0.1945393	0.1029482	1.766955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.87715	0.4267649	0.998421	0.999596	1.0004	1.00158	1.869904	8.33022	6.7	6.3	6.55918	4.19487	4.43404	1.69311	7.2	5.92869	6.67824	5.32182	3.33549	1.94462	1.92299	3.75062	6.18451	6.54072	7.16998	3.39475	2.43773	2.91249	2.87948	2.84778	3.35561	3.10785	4.87267	0.9449447
170	-708.9321	-573.0642	-135.8679	860800.2	0.1029164	0.1652408	0.1440743	1.30393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.12872	0.2581132	0.99863	0.99965	1.00035	1.00137	1.448004	8.33022	6.7	6.3	6.55918	4.19487	4.43404	1.69311	7.2	5.92869	6.67824	5.32182	3.29737	2.78271	1.63527	4.06999	6.18451	6.54072	7.16998	3.18268	2.60488	2.91249	2.87948	2.84778	2.81838	3.02254	4.87267	0.9005015
180	-706.7964	-566.3416	-140.4549	413775.7	0.0938469	0.1788946	-0.0149387	1.220665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.485561	0.2659469	0.998025	0.999495	1.0005	1.00198	1.205727	8.33022	6.7	6.3	6.54922	4.19487	4.43404	1.69311	7.2	5.92869	6.67824	5.32182	3.29737	2.78271	1.63527	4.06999	6.18451	6.54072	7.16998	3.18268	2.38013	2.91249	2.87948	2.84778	2.81838	3.02254	4.87267	1.01239
190	-701.814	-563.4281	-138.3859	399071.3	0.09741272	0.293258	-0.001234395	0.9576171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.41701	0.3973569	0.997989	0.999485	1.00051	1.00201	0.9563827	8.33022	6.7	6.3	6.54922	4.19487	4.43404	1.69311	7.2	5.92869	6.67824	5.32182	3.29737	2.78271	1.63527	4.06999	6.18451	6.54072	7.16998	3.18268	2.76876	2.91249	2.87948	2.85497	3.04176	3.02254	4.87267	1.001291
