taxon	min	max
4	0.1686953140231049	0.1686953140231049
115	0.7853699671059744	0.7853699671059744
18	1.948538358268306	1.948538358268306
125	1.2870730447381957	1.2870730447381957
114	0.5038548794332519	0.5038548794332519
47	0.4179050989835251	0.4179050989835251
93	3.7855397706637817	3.7855397706637817
147	2.5768567686611137	2.5768567686611137
1	0.7058771768945584	0.7058771768945584
3	0.3999937051955729	0.3999937051955729
5	0.96496800430803	0.96496800430803
7	2.9588997041498146	2.9588997041498146
116	5.218265086075025	5.218265086075025
10	1.3626282854546938	1.3626282854546938
12	1.4044716412809521	1.4044716412809521
13	0.11391286461943857	0.11391286461943857
86	3.710025425674787	3.710025425674787
14	2.18399638028273	2.18399638028273
15	2.0616141038645672	2.0616141038645672
16	2.3294626740887163	2.3294626740887163
17	0.7471201596290736	0.7471201596290736
19	0.17389938930266152	0.17389938930266152
20	0.9672366844587674	0.9672366844587674
21	0.2511549620790715	0.2511549620790715
88	4.215594987270926	4.215594987270926
24	0.18948898626865193	0.18948898626865193
25	0.012581564732583518	0.012581564732583518
95	2.2367568459508984	2.2367568459508984
27	1.072730793738059	1.072730793738059
29	6.058947979159185	6.058947979159185
34	0.6370908248291778	0.6370908248291778
37	0.8885993542375434	0.8885993542375434
40	3.3210271943053846	3.3210271943053846
45	0.40720829843135997	0.40720829843135997
100	3.7569959594471767	3.7569959594471767
49	1.3429913689356372	1.3429913689356372
52	3.4811088205430907	3.4811088205430907
97	6.3778732336232205	6.3778732336232205
55	4.873633351883887	4.873633351883887
56	3.9717521200302133	3.9717521200302133
67	5.420733379482125	5.420733379482125
77	12.239562984249243	12.239562984249243
81	9.885589424298688	9.885589424298688
82	8.767976890438279	8.767976890438279
83	5.446798937417921	5.446798937417921
84	4.945756241402462	4.945756241402462
87	2.858380297496274	2.858380297496274
90	8.399502242093723	8.399502242093723
89	8.88353784491347	8.88353784491347
91	7.711155365044125	7.711155365044125
92	6.429074817844845	6.429074817844845
94	3.303220803452969	3.303220803452969
99	4.789470526670305	4.789470526670305
101	1.6239230251032455	1.6239230251032455
103	6.18326533186407	6.18326533186407
104	4.111386767282888	4.111386767282888
107	4.734799161522804	4.734799161522804
109	2.480189320695462	2.480189320695462
108	3.398649387083286	3.398649387083286
111	2.7654475446633318	2.7654475446633318
117	9.050866665593222	9.050866665593222
118	7.467364728634541	7.467364728634541
120	9.86053493856718	9.86053493856718
121	6.262302893043639	6.262302893043639
122	5.313091050157364	5.313091050157364
123	5.124628022947224	5.124628022947224
124	2.4484937500029784	2.4484937500029784
130	4.7313300539592005	4.7313300539592005
135	1.974209379341306	1.974209379341306
136	3.0382179791631527	3.0382179791631527
138	3.7640370743631903	3.7640370743631903
143	1.6641895840248724	1.6641895840248724
145	3.1479899025372116	3.1479899025372116
146	2.819536573280971	2.819536573280971
148	3.6977916271586713	3.6977916271586713
149	2.0436755395815878	2.0436755395815878
t115_1	0	0
t54_1	0	0
t35_1	0	0
t34_1	0	0
t144_1	0	0
t156_1	0	0
t10_1	0	0
t48_1	0	0
t78_1	0	0
t30_1	0	0
t108_1	0	0
t103_1	0	0
t87_1	0	0
t116_1	0	0
t3_1	0	0
t101_1	0	0
t8_1	0	0
t107_1	0	0
t61_1	0	0
t153_1	0	0
t56_1	0	0
t83_1	0	0
t1_1	0	0
t100_2	0	0
t98_1	0	0
t91_1	0	0
t74_1	0	0
t111_1	0	0
t43_1	0	0
t134_1	0	0
t27_1	0	0
t22_2	0	0
t12_1	0	0
t53_1	0	0
t89_1	0	0
t15_1	0	0
t155_1	0	0
t52_1	0	0
t17_1	0	0
t148_1	0	0
t141_1	0	0
t9_1	0	0
t138_1	0	0
t113_1	0	0
t28_1	0	0
t59_1	0	0
t26_1	0	0
t19_1	0	0
t136_1	0	0
t76_1	0	0
t2_1	0	0
t85_1	0	0
t100_1	0	0
t22_1	0	0
t47_1	0	0
t129_1	0	0
t112_1	0	0
t6_1	0	0
t40_1	0	0
t84_1	0	0
t70_1	0	0
t159_1	0	0
t159_2	0	0
t164_1	0	0
t185_1	0	0
t192_1	0	0
t208_1	0	0
t236_1	0	0
t236_2	0	0
t242_1	0	0
t244_1	0	0
t248_1	0	0
t281_1	0	0
t296_1	0	0
t304_1	0	0
t314_1	0	0
