taxon	min	max
6	1.0301937963056347	1.0301937963056347
16	0.12860230501832534	0.12860230501832534
43	0.02564517695585532	0.02564517695585532
47	0.0434357678311437	0.0434357678311437
134	7.505434005737731	7.505434005737731
169	4.2920241743357925	4.2920241743357925
1	0.24784942014767586	0.24784942014767586
2	0.35466280039728443	0.35466280039728443
180	2.010925681279786	2.010925681279786
172	1.3168969773120487	1.3168969773120487
5	2.4238748160000636	2.4238748160000636
176	3.0815292319558694	3.0815292319558694
8	3.618584304270715	3.618584304270715
178	6.5993084373759014	6.5993084373759014
179	3.902262129822681	3.902262129822681
9	1.3789191616981966	1.3789191616981966
13	0.8341652529255476	0.8341652529255476
14	1.0463514847080284	1.0463514847080284
15	0.008451601818768459	0.008451601818768459
18	4.0483527326674675	4.0483527326674675
19	4.306463506741179	4.306463506741179
131	2.9914108071881578	2.9914108071881578
159	1.3167841990795903	1.3167841990795903
21	0.3093339453891147	0.3093339453891147
152	5.370366711377538	5.370366711377538
153	4.408826880877304	4.408826880877304
154	2.2853154917319203	2.2853154917319203
22	1.6232161553082551	1.6232161553082551
158	2.452542385734981	2.452542385734981
23	0.3909462219030148	0.3909462219030148
142	5.773353635090408	5.773353635090408
24	1.5797112417937327	1.5797112417937327
25	1.1407656605854692	1.1407656605854692
174	3.146999007540211	3.146999007540211
26	0.046546274098063146	0.046546274098063146
121	0.506224803396323	0.506224803396323
29	2.1090772001580573	2.1090772001580573
125	4.531123665659058	4.531123665659058
30	0.7357109269701535	0.7357109269701535
32	0.550427073697239	0.550427073697239
34	8.209264674708779	8.209264674708779
35	0.37401876117728383	0.37401876117728383
36	0.8229293023202018	0.8229293023202018
148	7.000772914738021	7.000772914738021
42	1.6773500189224888	1.6773500189224888
44	2.0570249759249792	2.0570249759249792
45	2.9269896367643984	2.9269896367643984
114	8.071917048643142	8.071917048643142
48	1.0641229754415762	1.0641229754415762
49	1.0442301680274493	1.0442301680274493
50	1.928734156026547	1.928734156026547
101	7.098188414962397	7.098188414962397
102	4.832687962418507	4.832687962418507
103	3.7200308966304396	3.7200308966304396
53	0.7473914570640784	0.7473914570640784
54	1.502406758346674	1.502406758346674
57	2.2773591952636836	2.2773591952636836
126	4.418667963570449	4.418667963570449
60	3.6900270366485413	3.6900270366485413
105	6.939732127215118	6.939732127215118
61	2.398759497473251	2.398759497473251
63	6.980137965815714	6.980137965815714
97	12.552033651094522	12.552033651094522
64	11.524219336784459	11.524219336784459
65	15.579156969912482	15.579156969912482
66	17.0931744425842	17.0931744425842
93	17.968559477512766	17.968559477512766
96	13.730323959607412	13.730323959607412
98	11.633412962609686	11.633412962609686
106	6.349471288262668	6.349471288262668
107	4.272085433890061	4.272085433890061
110	4.283535878123617	4.283535878123617
111	1.7523514876584703	1.7523514876584703
113	9.013503542680477	9.013503542680477
115	12.136137791796733	12.136137791796733
118	9.367685697225106	9.367685697225106
119	1.3104138916962644	1.3104138916962644
122	9.68100825779153	9.68100825779153
123	8.308255702020507	8.308255702020507
124	7.814397597786986	7.814397597786986
127	15.378224373492369	15.378224373492369
128	10.447323647941113	10.447323647941113
129	10.108914322250378	10.108914322250378
130	8.241243222504265	8.241243222504265
133	2.039195775504554	2.039195775504554
136	5.747476724482145	5.747476724482145
140	1.2142880918646137	1.2142880918646137
145	5.368018622258054	5.368018622258054
146	3.3715377797000707	3.3715377797000707
151	5.7915277485376055	5.7915277485376055
156	4.209959196693193	4.209959196693193
157	2.9824468992713897	2.9824468992713897
160	4.652364383726467	4.652364383726467
164	3.981380378847725	3.981380378847725
165	2.705947935066967	2.705947935066967
166	1.6666576422216393	1.6666576422216393
170	3.3772944370042723	3.3772944370042723
171	3.167026939288927	3.167026939288927
177	2.8034851860029253	2.8034851860029253
t129_1	0	0
t172_1	0	0
t39_1	0	0
t145_1	0	0
t95_1	0	0
t57_1	0	0
t163_1	0	0
t78_1	0	0
t152_1	0	0
t56_1	0	0
t58_1	0	0
t115_1	0	0
t132_1	0	0
t93_1	0	0
t21_1	0	0
t107_1	0	0
t119_1	0	0
t127_1	0	0
t3_1	0	0
t63_1	0	0
t20_1	0	0
t136_1	0	0
t169_1	0	0
t45_1	0	0
t87_1	0	0
t139_1	0	0
t160_1	0	0
t117_1	0	0
t142_1	0	0
t181_1	0	0
t38_1	0	0
t97_1	0	0
t150_1	0	0
t179_1	0	0
t171_1	0	0
t62_1	0	0
t70_1	0	0
t90_1	0	0
t23_2	0	0
t118_1	0	0
t96_2	0	0
t140_1	0	0
t100_1	0	0
t13_1	0	0
t157_1	0	0
t14_2	0	0
t10_1	0	0
t30_1	0	0
t106_1	0	0
t31_1	0	0
t168_1	0	0
t43_1	0	0
t53_1	0	0
t105_1	0	0
t23_1	0	0
t96_1	0	0
t27_1	0	0
t14_1	0	0
t83_1	0	0
t83_2	0	0
t64_1	0	0
t112_1	0	0
t84_1	0	0
t114_1	0	0
t46_1	0	0
t189_1	0	0
t195_1	0	0
t200_1	0	0
t203_1	0	0
t203_2	0	0
t216_1	0	0
t222_1	0	0
t229_1	0	0
t238_1	0	0
t242_1	0	0
t243_1	0	0
t243_2	0	0
t258_1	0	0
t265_1	0	0
t281_1	0	0
t305_1	0	0
t305_2	0	0
t308_1	0	0
t311_1	0	0
t334_1	0	0
t334_2	0	0
t338_1	0	0
t339_1	0	0
t343_1	0	0
t349_1	0	0
t349_2	0	0
