taxon	min	max
33	0.6703431541966236	0.6703431541966236
34	0.5442841557254965	0.5442841557254965
40	0.19758418942179792	0.19758418942179792
103	0.36820656869067636	0.36820656869067636
51	2.178741767355451	2.178741767355451
90	5.044986613491131	5.044986613491131
101	1.1042320817142552	1.1042320817142552
102	1.3391007236478574	1.3391007236478574
106	7.33866376766567	7.33866376766567
107	6.4916988817744885	6.4916988817744885
120	6.184029717926331	6.184029717926331
1	0.4031358657230269	0.4031358657230269
135	1.8648468854907785	1.8648468854907785
92	3.4173333982176644	3.4173333982176644
5	1.2529056766851157	1.2529056766851157
7	0.2573186805608741	0.2573186805608741
8	2.1062624727719967	2.1062624727719967
10	1.11318674466204	1.11318674466204
109	5.356838782324886	5.356838782324886
11	1.3961817718457148	1.3961817718457148
13	2.979132086026271	2.979132086026271
111	1.2067598760802598	1.2067598760802598
17	1.6412905476266153	1.6412905476266153
19	1.3838941567536023	1.3838941567536023
162	7.0729130212138305	7.0729130212138305
20	0.5849516279277651	0.5849516279277651
21	1.6000676332604915	1.6000676332604915
23	6.329131819903544	6.329131819903544
156	7.58798103232596	7.58798103232596
25	0.9579121734460404	0.9579121734460404
26	0.7650325276221053	0.7650325276221053
160	2.4871547090833186	2.4871547090833186
28	0.3419133992771539	0.3419133992771539
29	1.992732674580039	1.992732674580039
30	1.9569419725731565	1.9569419725731565
31	0.7642515732502914	0.7642515732502914
39	4.3700962604168145	4.3700962604168145
151	7.625749242971979	7.625749242971979
128	1.9534843617345494	1.9534843617345494
46	1.2939052840882432	1.2939052840882432
117	1.3967637214397477	1.3967637214397477
159	3.0152299964604645	3.0152299964604645
55	1.3743696296297667	1.3743696296297667
91	4.102912631232216	4.102912631232216
57	2.5631208590328836	2.5631208590328836
59	1.2953685033903548	1.2953685033903548
98	3.6425546322302726	3.6425546322302726
60	1.9881237898109683	1.9881237898109683
76	4.140809381503767	4.140809381503767
83	23.77565746585092	23.77565746585092
84	16.215545971682808	16.215545971682808
86	12.216505222759901	12.216505222759901
87	8.79615665973622	8.79615665973622
88	7.8492672062959015	7.8492672062959015
89	5.374583246770686	5.374583246770686
93	5.091483147693271	5.091483147693271
94	1.116662455800038	1.116662455800038
97	4.70199288301253	4.70199288301253
112	8.894368966078549	8.894368966078549
115	6.504317892688617	6.504317892688617
116	5.807918334490667	5.807918334490667
124	2.981181789788376	2.981181789788376
132	1.8041653251055263	1.8041653251055263
138	1.4214263028435428	1.4214263028435428
139	4.07652141891758	4.07652141891758
140	1.510874932152268	1.510874932152268
141	7.152317260271405	7.152317260271405
142	6.431791703309875	6.431791703309875
144	2.737485642869046	2.737485642869046
145	1.3493332070138826	1.3493332070138826
148	3.1528569439572425	3.1528569439572425
152	6.5907336994497845	6.5907336994497845
153	11.785111489030186	11.785111489030186
154	8.880659841074564	8.880659841074564
155	10.821020834982349	10.821020834982349
157	5.221463476099985	5.221463476099985
158	4.4299341191626604	4.4299341191626604
161	4.029819766741281	4.029819766741281
t134_1	0	0
t80_1	0	0
t87_1	0	0
t19_1	0	0
t93_1	0	0
t150_1	0	0
t145_1	0	0
t63_1	0	0
t57_1	0	0
t98_2	0	0
t105_1	0	0
t17_1	0	0
t114_1	0	0
t40_1	0	0
t50_1	0	0
t21_1	0	0
t117_1	0	0
t131_1	0	0
t83_1	0	0
t163_1	0	0
t29_1	0	0
t103_1	0	0
t5_1	0	0
t59_1	0	0
t136_1	0	0
t68_1	0	0
t167_1	0	0
t106_1	0	0
t31_1	0	0
t13_1	0	0
t95_1	0	0
t35_1	0	0
t2_1	0	0
t44_1	0	0
t54_2	0	0
t128_1	0	0
t118_1	0	0
t56_1	0	0
t70_1	0	0
t69_1	0	0
t142_1	0	0
t23_1	0	0
t132_1	0	0
t102_1	0	0
t94_1	0	0
t41_1	0	0
t96_1	0	0
t55_1	0	0
t12_2	0	0
t85_1	0	0
t130_1	0	0
t49_1	0	0
t98_1	0	0
t39_1	0	0
t165_1	0	0
t54_1	0	0
t51_1	0	0
t12_1	0	0
t166_1	0	0
t90_1	0	0
t126_1	0	0
t153_1	0	0
t153_2	0	0
t177_1	0	0
t183_1	0	0
t200_1	0	0
t207_1	0	0
t208_1	0	0
t214_1	0	0
t224_1	0	0
t225_1	0	0
t228_1	0	0
t228_2	0	0
t232_1	0	0
t254_1	0	0
t267_1	0	0
t269_1	0	0
t274_1	0	0
t279_1	0	0
t287_1	0	0
t294_1	0	0
t300_1	0	0
