taxon	min	max
13	0.25534959959806997	0.25534959959806997
17	0.2501604629571296	0.2501604629571296
21	0.7976481363881425	0.7976481363881425
37	0.9132356922892898	0.9132356922892898
128	2.500968678474376	2.500968678474376
140	0.5872374924375336	0.5872374924375336
144	6.680408329578967	6.680408329578967
153	2.1610450007665345	2.1610450007665345
156	1.7081970247769886	1.7081970247769886
1	0.891288497775524	0.891288497775524
118	3.6718553403059495	3.6718553403059495
2	2.5660171277443866	2.5660171277443866
4	0.6800904595009601	0.6800904595009601
10	0.4846800778965365	0.4846800778965365
11	1.7635243058125212	1.7635243058125212
15	6.199355385489102	6.199355385489102
19	1.7974959556589098	1.7974959556589098
22	4.445992697959936	4.445992697959936
23	0.5689757536970327	0.5689757536970327
24	0.3541153013413466	0.3541153013413466
26	0.37929826061082395	0.37929826061082395
27	1.7469690517333334	1.7469690517333334
28	1.1798731893823116	1.1798731893823116
29	0.39926984633431667	0.39926984633431667
33	0.7569205909819694	0.7569205909819694
35	0.3190021595537234	0.3190021595537234
36	0.6132294236500531	0.6132294236500531
38	0.15424649286200245	0.15424649286200245
39	3.3169434932399553	3.3169434932399553
88	1.5788704271106788	1.5788704271106788
41	0.04043136945366081	0.04043136945366081
42	0.3761368271886655	0.3761368271886655
43	0.615387728169522	0.615387728169522
45	1.1653316884615323	1.1653316884615323
46	0.7046273379971043	0.7046273379971043
117	5.112639500905959	5.112639500905959
47	4.171559151599717	4.171559151599717
49	0.14987034673308705	0.14987034673308705
52	0.9117485355810027	0.9117485355810027
127	5.072624704824275	5.072624704824275
53	2.201963900023024	2.201963900023024
98	2.1082162148117494	2.1082162148117494
55	5.453625258594193	5.453625258594193
56	1.9205727945009787	1.9205727945009787
60	2.220516631423023	2.220516631423023
61	1.7517978458172618	1.7517978458172618
90	5.356728847705726	5.356728847705726
77	2.7297060843590426	2.7297060843590426
79	7.477009509549553	7.477009509549553
81	10.472165955111944	10.472165955111944
83	8.80457993973721	8.80457993973721
84	6.304697200895287	6.304697200895287
86	3.1099894331963416	3.1099894331963416
91	5.369640396328183	5.369640396328183
92	3.9016682961838556	3.9016682961838556
94	2.8520364945189884	2.8520364945189884
102	2.869071643535748	2.869071643535748
104	1.6169102296377253	1.6169102296377253
109	2.6554978015249984	2.6554978015249984
110	4.579483831670022	4.579483831670022
114	1.1924038930216931	1.1924038930216931
115	0.5915793912736101	0.5915793912736101
121	4.247249797471718	4.247249797471718
123	9.21042814681043	9.21042814681043
125	7.265619954650895	7.265619954650895
132	5.165628323125338	5.165628323125338
133	3.521134248275216	3.521134248275216
137	5.432183717910792	5.432183717910792
136	5.630350817984996	5.630350817984996
138	1.9269358129536498	1.9269358129536498
139	3.155183289050279	3.155183289050279
142	0.6921058494880014	0.6921058494880014
145	6.5019742155091205	6.5019742155091205
150	3.1319130782100277	3.1319130782100277
152	2.0441293531584077	2.0441293531584077
158	1.505227982696475	1.505227982696475
159	0.9097631483230277	0.9097631483230277
t153_1	0	0
t130_2	0	0
t39_1	0	0
t84_1	0	0
t137_1	0	0
t4_1	0	0
t135_1	0	0
t116_1	0	0
t59_1	0	0
t81_1	0	0
t54_1	0	0
t143_1	0	0
t60_1	0	0
t74_1	0	0
t41_1	0	0
t154_1	0	0
t52_1	0	0
t70_1	0	0
t80_1	0	0
t37_1	0	0
t91_1	0	0
t148_1	0	0
t26_1	0	0
t113_1	0	0
t30_1	0	0
t134_1	0	0
t109_1	0	0
t115_1	0	0
t138_1	0	0
t5_1	0	0
t67_1	0	0
t53_1	0	0
t117_1	0	0
t27_1	0	0
t150_1	0	0
t57_1	0	0
t83_1	0	0
t90_1	0	0
t87_1	0	0
t132_1	0	0
t12_2	0	0
t94_1	0	0
t1_3	0	0
t19_1	0	0
t9_1	0	0
t7_1	0	0
t131_1	0	0
t28_1	0	0
t21_1	0	0
t146_1	0	0
t130_1	0	0
t103_1	0	0
t112_1	0	0
t129_1	0	0
t106_1	0	0
t51_1	0	0
t12_1	0	0
t1_1	0	0
t1_2	0	0
t62_1	0	0
t11_1	0	0
t136_1	0	0
t170_1	0	0
t171_1	0	0
t177_1	0	0
t188_1	0	0
t188_2	0	0
t189_1	0	0
t215_1	0	0
t239_1	0	0
t239_2	0	0
t240_1	0	0
t246_1	0	0
t246_2	0	0
t246_3	0	0
t250_1	0	0
t250_2	0	0
t267_1	0	0
t271_1	0	0
t281_1	0	0
