taxon	min	max
5	0.5514373450732335	0.5514373450732335
124	1.340661826160953	1.340661826160953
32	0.31239104752703456	0.31239104752703456
41	0.19644268845538398	0.19644268845538398
134	2.130898425416927	2.130898425416927
127	1.6095442097854655	1.6095442097854655
129	1.9254797193262543	1.9254797193262543
149	8.094316519961678	8.094316519961678
153	2.7248594251433658	2.7248594251433658
2	1.1014167090428026	1.1014167090428026
155	3.5215315726348466	3.5215315726348466
3	0.418611629775281	0.418611629775281
109	1.3450687561265366	1.3450687561265366
6	1.001995106395013	1.001995106395013
7	1.1607647885406638	1.1607647885406638
146	8.478747899522073	8.478747899522073
147	6.810713552948999	6.810713552948999
14	3.4800756432111632	3.4800756432111632
128	0.9608798902278314	0.9608798902278314
114	5.041949051047976	5.041949051047976
156	0.6570035346872646	0.6570035346872646
19	1.3487202595265904	1.3487202595265904
20	0.6236246096195007	0.6236246096195007
122	1.559450391698916	1.559450391698916
21	0.3993690130735139	0.3993690130735139
22	0.9778314286025949	0.9778314286025949
23	0.23255164436092796	0.23255164436092796
26	2.57655402709379	2.57655402709379
138	4.1067880278002775	4.1067880278002775
27	1.1970391169758003	1.1970391169758003
28	0.8240688414513581	0.8240688414513581
105	1.3579838433665143	1.3579838433665143
29	0.022301490604647693	0.022301490604647693
31	1.7635203988922687	1.7635203988922687
159	2.8617981605754332	2.8617981605754332
34	1.6445337900348536	1.6445337900348536
35	0.6125522943471977	0.6125522943471977
89	2.7844896152064305	2.7844896152064305
37	2.1909245222796634	2.1909245222796634
40	0.9701820377328039	0.9701820377328039
42	0.8326118697316023	0.8326118697316023
43	0.42962212534490013	0.42962212534490013
44	1.5053095635277336	1.5053095635277336
46	2.8112112347275273	2.8112112347275273
141	2.7896740424690005	2.7896740424690005
48	0.08858083324157051	0.08858083324157051
140	2.2355820168314526	2.2355820168314526
60	2.0912825512348667	2.0912825512348667
77	2.841565007093326	2.841565007093326
78	2.6401430807665154	2.6401430807665154
142	4.27663938758657	4.27663938758657
136	1.6139121727747114	1.6139121727747114
80	2.558594988638633	2.558594988638633
81	15.53976485780947	15.53976485780947
83	13.0595235241766	13.0595235241766
84	11.650001707409023	11.650001707409023
85	5.757550447430124	5.757550447430124
86	4.982209588873897	4.982209588873897
88	3.4805472525287358	3.4805472525287358
91	2.698489531866948	2.698489531866948
92	1.5243919807744226	1.5243919807744226
94	2.3333576118237787	2.3333576118237787
97	2.7786722022266668	2.7786722022266668
99	3.305724676380236	3.305724676380236
102	5.387897376054866	5.387897376054866
103	3.9297803076138162	3.9297803076138162
104	2.861861220813796	2.861861220813796
108	3.175569803091393	3.175569803091393
110	2.62016877872641	2.62016877872641
111	11.101219601246843	11.101219601246843
119	1.9503652699129512	1.9503652699129512
120	1.3666609405787047	1.3666609405787047
123	4.977867148778365	4.977867148778365
126	2.455654594541922	2.455654594541922
132	5.108163074602702	5.108163074602702
133	3.335885814852061	3.335885814852061
137	0.6617411376920234	0.6617411376920234
144	14.251592719899477	14.251592719899477
145	8.814043769502721	8.814043769502721
151	6.905707589533121	6.905707589533121
t55_1	0	0
t61_1	0	0
t108_1	0	0
t144_1	0	0
t102_1	0	0
t106_1	0	0
t95_1	0	0
t97_1	0	0
t131_1	0	0
t80_1	0	0
t72_1	0	0
t54_1	0	0
t107_1	0	0
t86_1	0	0
t37_1	0	0
t83_1	0	0
t56_2	0	0
t68_1	0	0
t62_1	0	0
t63_1	0	0
t92_1	0	0
t32_1	0	0
t58_1	0	0
t149_1	0	0
t121_1	0	0
t49_1	0	0
t141_1	0	0
t25_1	0	0
t11_1	0	0
t87_1	0	0
t33_1	0	0
t6_1	0	0
t42_1	0	0
t28_1	0	0
t105_1	0	0
t76_1	0	0
t139_1	0	0
t13_1	0	0
t51_1	0	0
t39_1	0	0
t128_3	0	0
t82_1	0	0
t145_1	0	0
t129_1	0	0
t5_1	0	0
t127_2	0	0
t43_1	0	0
t120_1	0	0
t93_1	0	0
t18_2	0	0
t50_1	0	0
t111_1	0	0
t56_1	0	0
t46_1	0	0
t128_1	0	0
t128_2	0	0
t127_1	0	0
t18_1	0	0
t27_1	0	0
t30_1	0	0
t123_1	0	0
t155_1	0	0
t162_1	0	0
t175_1	0	0
t181_1	0	0
t189_1	0	0
t192_1	0	0
t192_2	0	0
t192_3	0	0
t230_1	0	0
t233_1	0	0
t253_1	0	0
t258_1	0	0
t268_1	0	0
t269_1	0	0
t280_1	0	0
t291_1	0	0
t293_1	0	0
t302_1	0	0
t308_1	0	0
