taxon	min	max
2	0.11627622175686934	0.11627622175686934
8	0.19267256650029133	0.19267256650029133
13	0.29168205224643745	0.29168205224643745
17	0.02410156274875304	0.02410156274875304
36	0.23642532082431084	0.23642532082431084
161	1.0032169835731597	1.0032169835731597
51	0.9680450879864333	0.9680450879864333
60	4.0520341884003646	4.0520341884003646
61	6.0592712361042365	6.0592712361042365
64	9.740423732842348	9.740423732842348
90	11.475937309116333	11.475937309116333
94	10.822186665307944	10.822186665307944
97	9.725822021159706	9.725822021159706
101	1.8438398728918601	1.8438398728918601
129	5.132558708430686	5.132558708430686
128	5.396395683436526	5.396395683436526
4	0.9002212056596766	0.9002212056596766
124	2.1841750004288323	2.1841750004288323
7	7.017758514626894	7.017758514626894
10	0.6952790981522122	0.6952790981522122
11	1.4099666349530116	1.4099666349530116
12	1.3551099284139672	1.3551099284139672
131	2.3961079382139503	2.3961079382139503
14	1.4563162128267633	1.4563162128267633
15	5.158093268303479	5.158093268303479
148	1.8460753893045525	1.8460753893045525
147	2.751946068923227	2.751946068923227
89	6.225965358853017	6.225965358853017
20	3.3510116786368678	3.3510116786368678
21	0.031082755524344446	0.031082755524344446
156	2.3001125889953444	2.3001125889953444
23	0.015635543968158503	0.015635543968158503
24	0.6233321635271547	0.6233321635271547
25	0.7642793494142972	0.7642793494142972
26	3.919791345344462	3.919791345344462
138	2.8051723102752035	2.8051723102752035
141	7.592448813596032	7.592448813596032
28	2.7035997987056533	2.7035997987056533
29	0.6327816989482722	0.6327816989482722
133	5.549948374584317	5.549948374584317
134	3.2401669261862134	3.2401669261862134
31	1.4815260351158956	1.4815260351158956
33	0.2812386682397197	0.2812386682397197
37	1.3148578112244276	1.3148578112244276
104	1.8899464585047858	1.8899464585047858
38	0.6446236886427679	0.6446236886427679
40	0.5892941418368554	0.5892941418368554
163	3.206380680322936	3.206380680322936
164	2.7367297162088047	2.7367297162088047
41	0.7657752263007778	0.7657752263007778
42	1.8169672485263615	1.8169672485263615
43	0.8130256851009686	0.8130256851009686
151	2.4615859032491216	2.4615859032491216
44	1.4310915675099032	1.4310915675099032
125	2.359197278975049	2.359197278975049
119	2.5394707587131204	2.5394707587131204
47	0.5250263904078556	0.5250263904078556
48	2.8164808223353743	2.8164808223353743
52	3.248228932562625	3.248228932562625
56	1.0794988308990803	1.0794988308990803
58	4.363139645692684	4.363139645692684
59	3.4304818471150433	3.4304818471150433
69	6.836924116290519	6.836924116290519
80	1.72708549770585	1.72708549770585
86	15.534153044844834	15.534153044844834
88	10.730299030600282	10.730299030600282
92	9.744145958579393	9.744145958579393
93	7.200340692147526	7.200340692147526
99	8.96698051172077	8.96698051172077
100	3.1606680992172613	3.1606680992172613
105	9.261716927437432	9.261716927437432
106	6.8017924372656156	6.8017924372656156
111	4.919070990323009	4.919070990323009
112	3.193664326768662	3.193664326768662
113	2.880122006067176	2.880122006067176
114	2.6154484091495585	2.6154484091495585
115	2.282581580369988	2.282581580369988
127	6.230560030651379	6.230560030651379
135	6.495410463363025	6.495410463363025
137	4.227235897061941	4.227235897061941
139	4.581373131968492	4.581373131968492
142	8.102240297780899	8.102240297780899
146	5.11856861144911	5.11856861144911
149	2.1272481904777494	2.1272481904777494
160	2.7475977840415213	2.7475977840415213
162	5.325539461006489	5.325539461006489
168	9.184562632675757	9.184562632675757
169	4.931158745905619	4.931158745905619
t149_1	0	0
t88_1	0	0
t8_1	0	0
t144_1	0	0
t11_1	0	0
t17_1	0	0
t193_1	0	0
t52_1	0	0
t56_1	0	0
t148_1	0	0
t15_1	0	0
t109_1	0	0
t100_1	0	0
t12_1	0	0
t162_1	0	0
t67_1	0	0
t30_1	0	0
t70_1	0	0
t101_1	0	0
t141_1	0	0
t22_1	0	0
t107_1	0	0
t169_2	0	0
t58_1	0	0
t146_1	0	0
t73_1	0	0
t44_2	0	0
t145_1	0	0
t115_1	0	0
t147_1	0	0
t94_1	0	0
t36_1	0	0
t14_1	0	0
t98_1	0	0
t122_1	0	0
t129_1	0	0
t55_1	0	0
t113_1	0	0
t114_2	0	0
t108_1	0	0
t93_1	0	0
t156_1	0	0
t176_1	0	0
t19_1	0	0
t158_1	0	0
t47_1	0	0
t90_1	0	0
t29_1	0	0
t50_1	0	0
t175_1	0	0
t150_1	0	0
t124_1	0	0
t169_1	0	0
t44_1	0	0
t114_1	0	0
t151_1	0	0
t152_1	0	0
t157_1	0	0
t34_1	0	0
t111_1	0	0
t24_1	0	0
t75_1	0	0
t72_1	0	0
t180_1	0	0
t200_1	0	0
t209_1	0	0
t227_1	0	0
t242_1	0	0
t254_1	0	0
t255_1	0	0
t260_1	0	0
t292_1	0	0
t295_1	0	0
t304_1	0	0
t308_1	0	0
t309_1	0	0
t324_1	0	0
t330_1	0	0
t337_1	0	0
t361_1	0	0
t364_1	0	0
t373_1	0	0
t376_1	0	0
t383_1	0	0
t386_1	0	0
