taxon	min	max
1	2.3833698938893386	2.3833698938893386
4	0.5305644288171995	0.5305644288171995
7	2.314170124127595	2.314170124127595
9	0.9960487855001315	0.9960487855001315
30	0.403501075794415	0.403501075794415
44	1.599788158408309	1.599788158408309
67	5.164274777328011	5.164274777328011
103	3.136071307462498	3.136071307462498
106	5.459731978371011	5.459731978371011
149	3.0666108952286484	3.0666108952286484
158	6.48998694946421	6.48998694946421
2	0.5991182485227095	0.5991182485227095
3	2.819335231524589	2.819335231524589
174	1.6653175235511513	1.6653175235511513
8	0.7033299784077013	0.7033299784077013
10	0.2422103687589208	0.2422103687589208
150	2.088476864652618	2.088476864652618
11	0.8215666550268795	0.8215666550268795
13	2.8987727710118083	2.8987727710118083
15	3.6653884552982987	3.6653884552982987
16	1.89969420427535	1.89969420427535
182	9.024341417980843	9.024341417980843
183	2.9006353602067194	2.9006353602067194
18	0.2333278517339139	0.2333278517339139
19	3.001901496844281	3.001901496844281
169	2.846379419262438	2.846379419262438
20	1.051502977860063	1.051502977860063
21	2.3427562228792307	2.3427562228792307
22	1.5194777914438165	1.5194777914438165
24	0.2415046708950565	0.2415046708950565
25	1.4751867741161875	1.4751867741161875
26	0.5322277492854991	0.5322277492854991
31	0.217598315736776	0.217598315736776
107	3.8675932099417096	3.8675932099417096
33	0.7213493134921911	0.7213493134921911
34	2.183836328705696	2.183836328705696
129	6.73115530214398	6.73115530214398
130	3.575871838183814	3.575871838183814
35	1.529890376321913	1.529890376321913
37	4.198325676041116	4.198325676041116
38	0.723532445939045	0.723532445939045
152	3.7181894032102836	3.7181894032102836
39	1.226059926622289	1.226059926622289
40	1.3183706901841996	1.3183706901841996
181	1.0832291381221897	1.0832291381221897
45	3.152558203945932	3.152558203945932
115	6.7441393710955175	6.7441393710955175
46	1.4141357994647987	1.4141357994647987
49	1.3663413141448515	1.3663413141448515
53	2.7887972623532193	2.7887972623532193
60	3.64268699293355	3.64268699293355
63	6.978133981339381	6.978133981339381
132	5.191656448612495	5.191656448612495
66	6.84114540403142	6.84114540403142
72	6.094915362944678	6.094915362944678
89	1.455191029697533	1.455191029697533
93	12.53262598701679	12.53262598701679
96	9.622091084293988	9.622091084293988
98	6.759324527295562	6.759324527295562
99	5.7480665828729185	5.7480665828729185
104	1.911217357357022	1.911217357357022
110	1.9030156405200527	1.9030156405200527
111	2.2557537139655213	2.2557537139655213
112	4.276286443343304	4.276286443343304
116	6.117387912689274	6.117387912689274
118	9.27954081337143	9.27954081337143
119	7.322478757699663	7.322478757699663
121	6.709438007449093	6.709438007449093
122	4.792248879555216	4.792248879555216
124	2.3986869704768132	2.3986869704768132
127	2.0627403015050354	2.0627403015050354
133	3.2061897988853607	3.2061897988853607
134	2.571644228975375	2.571644228975375
135	1.5785112129114296	1.5785112129114296
136	1.8919809877368157	1.8919809877368157
138	4.348976498904158	4.348976498904158
140	6.62719269871543	6.62719269871543
143	4.643000915902401	4.643000915902401
144	4.707845580335928	4.707845580335928
153	8.447912147050578	8.447912147050578
155	9.036227677862344	9.036227677862344
160	5.174413324425135	5.174413324425135
161	2.925941284502744	2.925941284502744
164	1.5400810815801116	1.5400810815801116
166	1.9159085212628082	1.9159085212628082
170	4.842348799332336	4.842348799332336
171	3.992388076062031	3.992388076062031
172	5.371722666466764	5.371722666466764
173	3.4888860310759537	3.4888860310759537
176	5.392129427727455	5.392129427727455
180	3.8930018317812194	3.8930018317812194
t66_1	0	0
t89_1	0	0
t148_1	0	0
t43_1	0	0
t122_1	0	0
t139_1	0	0
t65_1	0	0
t83_1	0	0
t136_1	0	0
t77_1	0	0
t163_1	0	0
t21_2	0	0
t173_1	0	0
t91_1	0	0
t160_1	0	0
t159_1	0	0
t27_1	0	0
t140_1	0	0
t15_1	0	0
t50_1	0	0
t11_2	0	0
t35_1	0	0
t7_1	0	0
t3_1	0	0
t156_1	0	0
t108_1	0	0
t38_1	0	0
t26_1	0	0
t49_3	0	0
t20_1	0	0
t24_1	0	0
t58_1	0	0
t41_1	0	0
t169_1	0	0
t96_2	0	0
t101_1	0	0
t30_1	0	0
t14_1	0	0
t98_1	0	0
t63_1	0	0
t4_1	0	0
t9_1	0	0
t61_1	0	0
t104_1	0	0
t138_1	0	0
t13_1	0	0
t110_1	0	0
t123_1	0	0
t112_1	0	0
t73_1	0	0
t21_1	0	0
t11_1	0	0
t137_1	0	0
t49_1	0	0
t49_2	0	0
t96_1	0	0
t172_1	0	0
t5_1	0	0
t165_1	0	0
t114_1	0	0
t92_1	0	0
t55_1	0	0
t55_2	0	0
t102_1	0	0
t51_1	0	0
t39_1	0	0
t69_1	0	0
t135_1	0	0
t23_1	0	0
t175_1	0	0
t178_1	0	0
t207_1	0	0
t209_1	0	0
t212_1	0	0
t222_1	0	0
t223_1	0	0
t233_1	0	0
t239_1	0	0
t259_1	0	0
t282_1	0	0
t289_1	0	0
t291_1	0	0
t294_1	0	0
t297_1	0	0
t297_2	0	0
t300_1	0	0
t305_1	0	0
t309_1	0	0
t323_1	0	0
t327_1	0	0
t329_1	0	0
t339_1	0	0
